,plate,year,make,model
0,gcl8613,2017,MAZDA,Mazda3
1,gcl8623,2016,Volkswagen,Passat
2,gcl8643,2016,Chevrolet,Traverse
3,gcl8673,2011,MERCEDES-BENZ,E-Class
4,gcl8683,2010,HONDA,Civic
5,gcl8693,2008,TOYOTA,Sienna
