,plate,make,color,year,total violations,brooklyn,bronx,queens,staten island,manhattan,unknown
94,GPE8673,LEXUS,SILVE,2008,1,1,0,0,0,0,0
95,GPH8673,FORD,RED,2005,19,16,0,3,0,0,0
96,GPJ8673,INFIN,BK,2013,2,0,0,0,0,2,0
97,GPL8673,HYUND,BK,2005,3,1,0,2,0,0,0
98,GPM8673,CHEVR,BLACK,2011,10,2,6,2,0,0,0
99,GPN8673,ME/BE,BK,2014,3,0,0,1,0,2,0
100,GPV8673,HYUND,GY,2009,3,2,0,1,0,0,0
101,GPX8673,TOYOT,BL,2014,10,0,0,10,0,0,0
102,GPY8673,BMW,BK,2015,2,1,0,0,0,1,0
103,GRB8673,JEEP,WH,0,1,0,0,1,0,0,0
104,GRD8673,ME/BE,BK,2015,1,0,0,1,0,0,0
105,GRJ8673,TOYOT,GY,2006,4,3,0,1,0,0,0
106,GRS8673,JEEP,GY,2017,1,1,0,0,0,0,0
107,GRZ8673,CHRYS,BL,2005,2,0,2,0,0,0,0
108,GSG8673,BMW,GRAY,2014.0,31,31,0,0,0,0,0
109,GSN8673,DODGE,BK,2017,1,0,0,0,0,1,0
110,GSV8673,FORD,MR,0,9,0,0,1,0,8,0
111,GTA8673,DODGE,WH,2008,9,0,7,2,0,0,0
112,GTB8673,ACURA,WH,2002,3,3,0,0,0,0,0
113,GTC8673,KIA,GREY,2012,4,0,0,4,0,0,0
114,GTJ8673,HONDA,BK,2010,1,1,0,0,0,0,0
115,GTL8673,JEEP,GREY,2014,7,0,7,0,0,0,0
116,GTP8673,TOYOT,BLK,2010,2,0,0,0,0,2,0
117,GTS8673,HONDA,BK,2013,1,0,0,1,0,0,0
118,GTU8673,BMW,BK,2014,2,0,0,2,0,0,0
119,GTW8673,HONDA,GREY,2012.0,68,50,0,15,0,1,2
120,GTX8673,TOYOT,BLUE,2012,6,0,5,0,0,1,0
121,GUD8673,HONDA,BK,2008,1,0,0,1,0,0,0
122,GUH8673,ACURA,GY,2012.0,9,0,0,9,0,0,0
123,GUL8673,HYUND,WHITE,2015,1,1,0,0,0,0,0
124,GUU8673,HONDA,GY,2013,7,0,0,0,0,7,0
125,GUV8673,LEXUS,WH,2007,8,0,8,0,0,0,0
126,GVB8673,TOYOT,BL,2007.0,34,2,0,23,0,9,0
127,GVF8673,MITSU,WH,2001,2,0,2,0,0,0,0
128,GVG8673,ROVER,WHITE,2009,21,0,0,21,0,0,0
129,GVS8673,HONDA,BR,2015,9,1,0,2,0,6,0
130,GVT8673,FORD,GREY,2015,1,1,0,0,0,0,0
131,GVU8673,HONDA,BLACK,2015,3,0,0,3,0,0,0
132,GVV8673,SUBAR,GR,2015,3,0,0,3,0,0,0
133,GWA8673,INFIN,WH,2011,7,5,0,2,0,0,0
134,GWD8673,SUBAR,DKGY,2015.0,2,2,0,0,0,0,0
135,GWE8673,CHEVR,BLK,2015,4,1,0,0,0,3,0
136,GWF8673,MERCU,BLACK,2004,12,0,12,0,0,0,0
137,GWU8673,VOLKS,GY,2013.0,43,0,36,0,0,7,0
138,GWV8673,VOLKS,BK,2012.0,36,10,0,26,0,0,0
139,GWY8673,HONDA,GY,2004,4,0,1,1,0,2,0
140,GXB8673,FORD,BK,2003,2,0,0,1,0,1,0
141,GXD8673,INFIN,BK,2009,28,0,20,4,0,4,0
142,GXE8673,NISSA,WH,2015.0,16,0,5,0,0,11,0
143,GXL8673,INFIN,GY,2015,16,16,0,0,0,0,0
144,GXR8673,DODGE,BLACK,2007.0,10,0,10,0,0,0,0
145,GXV8673,HONDA,GRAY,2003,1,1,0,0,0,0,0
146,GXW8673,AUDI,GRY,2009.0,8,3,2,2,0,1,0
147,GYG8673,,,,1,0,0,1,0,0,0
148,GYK8673,FORD,GY,2016,5,4,0,1,0,0,0
149,GYL8673,MAZDA,GY,2007,4,0,0,3,0,1,0
150,GYV8673,FORD,BLACK,2013,1,0,1,0,0,0,0
151,GZD8673,NISSA,BK,2016,1,0,0,1,0,0,0
